title,price,color,rating,rating_count
"SAMSUNG Galaxy Z Flip 4 Cell Phone, Factory Unlocked Android Smartphone, 256GB, Flex Mode, Hands Free Camera, Compact, Foldable Design, Informative Cover Screen, US Version, Pink Gold","$1,059.99",Pink Gold,4.2 out of 5 stars,60 ratings
"SAMSUNG Galaxy S23+ Plus Cell Phone, Factory Unlocked Android Smartphone, 256GB Storage, 50MP Camera, Night Mode, Long Battery Life, Adaptive Display, US Version, 2023, Green",$999.99,Green,4.4 out of 5 stars,3 ratings
Samsung Electronics Galaxy Note 20 5G Unlocked Android Cell Phone | US Version | 128GB of Storage | Mobile Gaming Smartphone | Long-Lasting Battery | Mystic Gray (Renewed),$272.99,Unlocked for All Carriers,4.2 out of 5 stars,"1,330 ratings"
Unlocked Smartphone 6.7inch Cell Phone S22 Ultra 2+16GB HD Full Screen Straight Talk Phone Dual Sim Unlocked Android Phones Boost Mobile Phone (Rose Gold),$89.99,rose gold,1.7 out of 5 stars,5 ratings
"Samsung Galaxy S10e, 128GB, Flamingo Pink - Unlocked (Renewed)",$136.80,128GB,4.3 out of 5 stars,"11,874 ratings"
"SAMSUNG Galaxy S23 Cell Phone, Factory Unlocked Android Smartphone, 256GB Storage, 50MP Camera, Night Mode, Long Battery Life, Adaptive Display, US Version, 2023, Lavender",$799.99,Lavender,4.4 out of 5 stars,17 ratings
"SAMSUNG Galaxy Z Flip 4 Cell Phone, Factory Unlocked Android Smartphone, 256GB, Flex Mode, Hands Free Camera, Compact, Foldable Design, Informative Cover Screen, US Version, Pink Gold","$1,059.99",Pink Gold,4.2 out of 5 stars,60 ratings
"SAMSUNG Galaxy S22 Cell Phone, Factory Unlocked Android Smartphone, 128GB, 8K Camera & Video, Night Mode, Brightest Display Screen, 50MP Photo Resolution, Long Battery Life, US Version, Pink Gold",$699.95,Pink Gold,4.4 out of 5 stars,303 ratings
"Apple iPhone 13 Pro, 256GB, Sierra Blue - Unlocked (Renewed)",$843.23,Unlocked,4.2 out of 5 stars,736 ratings
"OnePlus Nord N20 5G | Android Smart Phone | 6.43"" AMOLED Display| 6+128GB | U.S. Unlocked | 4500 mAh Battery | 33W Fast Charging | Blue Smoke",$249.99,,4.3 out of 5 stars,598 ratings
"Apple iPhone 14 Pro, 256GB, Deep Purple - Unlocked (Renewed)",Page 1 of 1,Unlocked,4.2 out of 5 stars,55 ratings
"SAMSUNG Galaxy S23 Ultra Cell Phone, Factory Unlocked Android Smartphone, 512GB Storage, 200MP Camera, Night Mode, Long Battery Life, S Pen, US Version, 2023, Lavender","$1,199.99",Lavender,4.9 out of 5 stars,37 ratings
OnePlus 11 5G | 8GB RAM+128GB | Titan Black | US Factory Unlocked Android Smartphone | 5000 mAh battery | 80W Fast charging | Hasselblad Camera | 120Hz Fluid Display | 4nm Processor,$699.99,Titan Black,4.4 out of 5 stars,158 ratings
Samsung Galaxy S20+ 5G 128GB Fully Unlocked Smartphone (Renewed),$309.99,Cosmic Gray,4.3 out of 5 stars,"2,620 ratings"
"UMIDIGI Cell Phone G1, Android12 Unlocked Cell Phone, Dual Sim 4G LTE Mobile Phone, 2+32GB 256G Expandable, 6.52"" HD+, 5150mAh, GSM Unlocked",$99.99,2+32G,3.8 out of 5 stars,943 ratings
"SAMSUNG Galaxy S23 Ultra Cell Phone, Factory Unlocked Android Smartphone, 256GB Storage, 200MP Camera, Night Mode, Long Battery Life, S Pen, US Version, 2023, Green","$1,199.99",Green,4.5 out of 5 stars,12 ratings
"SAMSUNG Galaxy A03s Cell Phone, Factory Unlocked Android Smartphone, 32GB, 3 Camera Lenses, Infinity Display Screen, Long Battery Life, Expandable Storage, US Version, Black",$159.99,Black,4.1 out of 5 stars,603 ratings
Smallest Mobile Phone L8Star BM70 Tiny Mini Mobile Black Unlocked,$24.69,Black,3.5 out of 5 stars,797 ratings
"UMIDIGI Rugged Unlocked Cell Phones, Bison 2 PRO 8G+256GB, Rugged Smartphone with IP68 & IP69K, 6150mAh Mobile Phone, Android 12, NFC, 6.5"" FHD, 48MP AI Triple Camera, Dual 4G, 18W, Type-C, GPS",$239.99,8GB+256GB,4.0 out of 5 stars,266 ratings
Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,$239.00,3 Month Plan,3.0 out of 5 stars,8 ratings
"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",$299.00,64GB,4.3 out of 5 stars,"35,625 ratings"
Nokia 225 | GSM Unlocked Mobile Phone | 4G | Black,$43.07,Black,3.6 out of 5 stars,"2,438 ratings"
"TCL 30 SE |2022| 6.52"" Unlocked Cell Phone, 4+64GB Android Phone GSM Unlocked Smartphone with 50MP Camera, 5000mAh, Single SIM, US Version, Atlantic Blue(Not Support Verizon/Boost/5G)",$159.99,Atlantic Blue,4.1 out of 5 stars,"1,255 ratings"
"Samsung Galaxy S20 FE 5G G781U Verizon Locked Android Cell Phone 128GB US Version Smartphone Pro-Grade Camera 30X Space Zoom Night Mode, (Renewed)",$193.75,Cloud Mint,3.8 out of 5 stars,59 ratings
"TracFone Nokia C100, 32GB, Blue - Prepaid Smartphone (Locked)",$39.99,Smartphone,3.4 out of 5 stars,94 ratings
Moto G 5G | 2022 | 2-Day Battery | Unlocked | Made for US by Motorola | 6/256GB | 50 MP Camera | Moonlight Gray,$199.99,Moonlight Gray,4.2 out of 5 stars,365 ratings
"Apple iPhone 8, 64GB, Gold - Unlocked (Renewed)",$185.00,64GB,4.3 out of 5 stars,"50,411 ratings"
"Samsung Galaxy S21 FE 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, 120Hz Display, Pro Grade Camera, All Day Intelligent Battery, US Version, Graphite (Renewed)",$343.99,Graphite,4.2 out of 5 stars,398 ratings
"Cell Phone Signal Booster for Home Office Rural Area Up to 6000 sq ft,Boost 4G LTE 5G Signal on Band 2/4/5/12/13,Cell Signal Booster Kit Support Verizon, AT&T, T-Mobile, Sprint & More | FCC Approved",$198.80,,5.0 out of 5 stars,2 ratings
"CapGrip II Smartphone Camera Grip Holder w Remote Control Shutter 1/4"" Tripod Mount Phone Clip for iPhone 14 13 X Max Pro Samsung Google & Android Phone Selfie Vlog Video Shooting Cold Shoe - CG01",$19.95,,4.0 out of 5 stars,104 ratings
